toplam_maliyet,siparis_maliyeti_toplam,elde_tutma_toplam,stoksuz_ceza_toplam,servis_seviyesi,ortalama_stok,stoksuz_gun_sayisi,toplam_talep,karsilanan_talep,parca_no,kullanilan_r,kullanilan_Q,senaryo
10041546.6471,8950.0,147103.4846,9885493.1626,0.9038,1996.1354,5.6,21548.9742,19069.4433,Part-41,8569,199,mevcut
1847281.3998,13350.0,195687.7172,1638243.6826,0.9608,5170.8852,2.9,28748.7394,27378.959,Part-42,9258,894,mevcut
5094077.2128,24630.0,252971.1523,4816476.0605,0.9648,8157.6906,2.4,76378.1402,73297.5671,Part-43,26665,938,mevcut
203304643.7852,4480.0,3328112.331,199972051.4542,0.6629,4003.7325,15.0,30926.0762,19502.0002,Part-44,14309,79,mevcut
3594337.3511,8790.0,218634.0887,3366913.2624,0.971,7995.5208,2.3,43293.0979,41751.859,Part-45,15410,617,mevcut
1112737.8569,3125.0,67474.4195,1042138.4374,0.943,2276.9587,3.5,17229.2007,16026.1132,Part-46,5903,271,mevcut
266432.0794,3500.0,45665.0841,217266.9953,0.9501,3671.164,1.9,12041.0744,11348.7885,Part-47,4947,618,mevcut
475066.7855,3810.0,81727.1675,389529.6181,0.9762,3365.5729,1.1,11003.1905,10662.0545,Part-48,5402,337,mevcut
128261.995,2640.0,9786.4777,115835.5173,0.9722,3747.1471,2.8,18223.5229,17569.5653,Part-49,6451,2175,mevcut
52591072.0386,4500.0,245284.0982,52341287.9404,0.7066,2188.0467,18.4,28056.0223,19352.6372,Part-50,10501,135,mevcut
66382.6234,2800.0,41161.7822,22420.8411,0.9976,9554.7313,0.2,17842.3144,17773.6462,Part-51,13921,1781,mevcut
464922.0838,4340.0,160958.3899,299623.6939,0.9926,6143.2825,0.6,20836.2254,20636.7183,Part-52,10341,482,mevcut
3456299.0648,7240.0,356723.9457,3092335.1191,0.9771,11746.8158,1.4,66721.1887,64773.7273,Part-53,25296,841,mevcut
442774.9042,5580.0,148247.9682,288946.936,0.9901,9863.1897,0.4,36361.3822,35900.6814,Part-54,18005,1088,mevcut
1120310.0218,4110.0,104425.5227,1011774.4991,0.9787,3826.6726,1.2,16133.8854,15696.5731,Part-55,6843,377,mevcut
31167703.37,6670.0,778390.44,30382642.9299,0.8891,2405.284,4.0,14839.7369,12840.9827,Part-56,4167,123,mevcut
80939865.6986,13500.0,196003.0223,80730362.6762,0.7034,779.888,17.4,18608.7829,12682.0745,Part-57,7908,120,mevcut
288600.6574,7335.0,206955.9055,74309.7519,0.9968,5974.3052,0.1,11167.5713,11110.7422,Part-58,9312,287,mevcut
2032166.0919,4130.0,79293.1615,1948742.9304,0.9312,2194.7755,2.5,14975.9773,13711.7994,Part-59,5450,164,mevcut
1727250.7613,5295.0,93317.6657,1628638.0956,0.9415,2836.1692,2.6,14543.149,13525.3965,Part-60,5109,346,mevcut
59559569.8276,13340.0,809725.0437,58736504.7839,0.8264,2294.1274,3.5,14612.3046,11608.2025,Part-61,3851,133,mevcut
1303666.4798,3745.0,56488.1087,1243433.3711,0.948,2165.0064,3.8,17791.8842,16667.0632,Part-62,6307,236,mevcut
2891124.0179,4245.0,123579.9577,2763299.0603,0.9418,4674.4571,2.1,20491.102,19193.48,Part-63,5844,614,mevcut
752921.2812,7320.0,94406.4884,651194.7928,0.9781,3027.0964,1.9,17382.8298,16901.3015,Part-64,6130,449,mevcut
59138140.6085,18000.0,1262310.9403,57857829.6682,0.8158,2312.8452,3.3,15085.5433,11731.4079,Part-65,7888,102,mevcut
611091.2324,4465.0,66716.9084,539909.324,0.9784,1570.0418,2.6,19846.2365,19366.6752,Part-66,7028,226,mevcut
43291.5547,1185.0,2635.6096,39470.945,0.9565,3452.9791,3.1,20048.1071,18986.2038,Part-67,5955,2331,mevcut
23201194.9637,15160.0,1414655.9729,21771378.9908,0.9253,4191.5094,1.8,17394.7744,15731.1926,Part-68,8384,179,mevcut
655115.0978,3760.0,38693.2164,612661.8814,0.9203,1249.4869,2.8,6925.771,6251.4565,Part-69,2554,172,mevcut
9538.972,1020.0,4654.6748,3864.2972,0.9943,2065.9897,0.6,8581.7639,8519.3056,Part-70,2733,1396,mevcut
70075.3028,2470.0,49534.7625,18070.5403,0.9962,2889.5278,0.2,6028.2771,5992.5335,Part-71,4558,336,mevcut
3316471.1027,6980.0,74721.0951,3234770.0076,0.9488,2419.635,3.9,24589.1094,23076.736,Part-72,7557,345,mevcut
376437.7952,7710.0,171551.4187,197176.3765,0.9853,4821.5688,0.1,11400.1369,11136.3028,Part-73,7897,252,mevcut
494526.1501,3007.5,137614.908,353903.7421,0.9749,4886.5708,0.5,13592.7402,13087.5171,Part-74,7895,348,mevcut
9099379.0857,8930.0,915153.3912,8175295.6944,0.9546,2489.7313,1.0,8208.3492,7667.2528,Part-75,5377,82,mevcut
