parca_no,mevcut_r,mevcut_Q,onerilen_r,onerilen_Q,optimize_maliyet,servis_seviyesi,ortalama_stok,stoksuz_gun,hedef_servis_saglandir,r_degisimi,Q_degisimi,mevcut_maliyet,maliyet_tasarrufu,tasarruf_orani
Part-51,13921,1781,9398,7368,36598.08,1.0,8342.1733,0.0,True,-4523,5587,66382.6234,29784.54,44.87
Part-52,10341,482,10228,2585,186979.83,1.0,7103.235,0.0,True,-113,2103,464922.0838,277942.25,59.78
Part-53,25296,841,25905,8487,494400.45,1.0,16252.8022,0.0,True,609,7646,3456299.0648,2961898.61,85.7
Part-54,18005,1088,16751,5311,275223.66,0.9962,10936.3469,0.4,True,-1254,4223,442774.9042,167551.24,37.84
Part-55,6843,377,7623,1943,138422.11,1.0,5038.3977,0.0,True,780,1566,1120310.0218,981887.91,87.64
Part-56,4167,123,5895,1848,1530018.28,1.0,4725.4593,0.0,True,1728,1725,31167703.37,29637685.09,95.09
Part-57,7908,120,8178,2627,5509356.66,0.9859,4712.6032,1.7,True,270,2507,80939865.6986,75430509.04,93.19
Part-58,9312,287,5665,7462,230802.86,1.0,6653.6146,0.0,True,-3647,7175,288600.6574,57797.8,20.03
Part-59,5450,164,5653,1948,227073.96,0.9972,4011.3448,0.1,True,203,1784,2032166.0919,1805092.13,88.83
Part-60,5109,346,7223,1931,163778.31,1.0,4939.3586,0.0,True,2114,1585,1727250.7613,1563472.45,90.52
Part-61,3851,133,3484,6010,1906323.36,1.0,5399.6126,0.0,True,-367,5877,59559569.8276,57653246.47,96.8
Part-62,6307,236,7870,2991,334321.76,0.992,4941.8221,0.8,True,1563,2755,1303666.4798,969344.72,74.36
Part-63,5844,614,7846,2686,199971.66,1.0,7517.4759,0.0,True,2002,2072,2891124.0179,2691152.36,93.08
Part-64,6130,449,7560,2050,180570.76,0.9989,4709.4509,0.2,True,1430,1601,752921.2812,572350.52,76.02
Part-65,7888,102,7822,6807,4448009.78,0.998,6891.7623,0.1,True,-66,6705,59138140.6085,54690130.83,92.48
Part-66,7028,226,6123,4532,252537.87,0.9963,3679.4933,0.5,True,-905,4306,611091.2324,358553.36,58.67
Part-67,5955,2331,8663,4092,9241.98,0.9961,6078.9857,0.1,True,2708,1761,43291.5547,34049.57,78.65
Part-68,8384,179,10147,4730,2738455.33,1.0,8111.0922,0.0,True,1763,4551,23201194.9637,20462739.63,88.2
Part-69,2554,172,2721,3967,140802.15,0.9935,2874.1172,0.7,True,167,3795,655115.0978,514312.95,78.51
Part-70,2733,1396,2942,1446,6610.16,0.9992,2245.7151,0.1,True,209,50,9538.972,2928.81,30.7
Part-71,4558,336,3197,2633,49094.28,1.0,2845.7498,0.0,True,-1361,2297,70075.3028,20981.02,29.94
Part-72,7557,345,9829,3235,813148.09,0.9897,5455.7569,1.0,True,2272,2890,3316471.1027,2503323.01,75.48
Part-73,7897,252,7325,3186,211139.03,1.0,5914.3909,0.0,True,-572,2934,376437.7952,165298.77,43.91
Part-74,7895,348,8814,3961,202566.42,1.0,7181.2174,0.0,True,919,3613,494526.1501,291959.73,59.04
Part-75,5377,82,3148,3524,1279921.6,1.0,3481.3984,0.0,True,-2229,3442,9099379.0857,7819457.49,85.93
Part-76,3529,74,2766,2411,975327.05,0.9972,2453.65,0.1,True,-763,2337,3917992.0848,2942665.03,75.11
Part-77,8220,171,8529,2285,744435.18,0.9999,5798.7504,0.1,True,309,2114,4995608.9412,4251173.76,85.1
Part-78,4266,58,4823,3593,1732178.8,1.0,4294.6645,0.0,True,557,3535,27844479.1658,26112300.37,93.78
Part-79,3147,476,3108,1038,36697.9,0.9997,2433.8508,0.2,True,-39,562,73896.8139,37198.91,50.34
Part-80,7312,197,6451,3178,172060.91,1.0,5175.777,0.0,True,-861,2981,470198.1427,298137.23,63.41
Part-81,5183,835,6653,1696,42620.86,1.0,4375.4422,0.2,True,1470,861,398222.8976,355602.04,89.3
Part-82,4492,967,4698,1339,10306.7,0.9986,3060.9737,0.2,True,206,372,14351.4758,4044.78,28.18
Part-83,21879,1256,29810,10083,405439.25,0.9933,18791.7354,0.5,True,7931,8827,1856683.6979,1451244.45,78.16
Part-84,6901,139,7720,2052,1652919.39,1.0,5319.0328,0.0,True,819,1913,31956211.8876,30303292.5,94.83
Part-85,9129,443,13585,3796,347831.07,1.0,8239.86,0.0,True,4456,3353,4701846.1441,4354015.07,92.6
Part-86,39420,1074,44125,14275,321570.85,1.0,28233.2237,0.0,True,4705,13201,3524684.0039,3203113.15,90.88
Part-87,4269,121,4752,2837,2042606.21,0.9925,3610.9441,0.6,True,483,2716,11035257.6968,8992651.49,81.49
Part-88,3731,95,5315,1584,1008398.81,0.9992,3500.0709,0.2,True,1584,1489,26039687.6517,25031288.84,96.13
Part-89,2087,660,3020,2754,97865.35,1.0,3381.9417,0.0,True,933,2094,623825.8269,525960.48,84.31
Part-90,4088,603,6117,1988,56994.76,0.9948,3476.7262,0.4,True,2029,1385,343958.349,286963.59,83.43
